ticker,company,mega_theme,industry,chain_layer,chain_role,upstream_tickers,peer_tickers,downstream_tickers,monopoly_score,gross_margin_power,irreplaceability,ten_year_optionality,capital_intensity,risk_flags,why_it_can_10x,key_questions
NVDA,NVIDIA,AI算力,Accelerated computing,核心零部件,AI accelerator and CUDA ecosystem,TSM;ARM;ASML,AMD;AVGO,CRWV;MSFT;GOOGL;META,5,5,5,5,4,Hyperscaler capex digestion; export controls; custom ASIC substitution,Controls the scarce compute layer and developer ecosystem for AI infrastructure,Can CUDA moat survive ASICs and open software stacks
AMD,Advanced Micro Devices,AI算力,Accelerated computing,核心零部件,GPU CPU and adaptive compute,TSM;ARM;ASML,NVDA;AVGO,MSFT;META;ORCL,3,3,3,4,4,Execution risk; software ecosystem gap,Second-source AI compute can compound if software and supply improve,Can ROCm and customer wins close the ecosystem gap
AVGO,Broadcom,AI算力,AI networking and custom silicon,核心零部件,Networking ASICs custom accelerators and infrastructure software,TSM;ASML,NVDA;AMD,GOOGL;META;MSFT;CRWV,4,5,4,4,3,Customer concentration; integration risk,Owns high-margin connectivity and custom silicon lanes in AI data centers,Can custom silicon growth offset cyclical semis
TSM,Taiwan Semiconductor Manufacturing,AI算力,Semiconductor foundry,平台,Advanced-node manufacturing platform,ASML;AMAT;LRCX,INTC;Samsung,NVDA;AMD;AVGO;ARM,5,4,5,4,5,Geopolitical risk; capex intensity,Most critical manufacturing platform for advanced AI chips,Can geopolitical and capex risks stay manageable
ARM,Arm Holdings,AI算力,Chip IP,软件,CPU architecture and IP licensing,TSM;EDA,NVDA;RISC-V ecosystem,AAPL;QCOM;NVDA;AMZN,4,5,4,4,1,RISC-V substitution; royalty sensitivity,High-margin IP toll road across edge AI mobile and data center,Can royalty expansion continue without customer pushback
CRWV,CoreWeave,AI算力,AI cloud,平台,Specialized GPU cloud and AI compute capacity,NVDA;AVGO;TSM,MSFT;AMZN;GOOGL,AI labs; enterprises,3,3,3,5,5,Debt load; GPU depreciation; customer concentration,Can scale into the specialized AI cloud layer if demand stays constrained,Can utilization and financing survive GPU cycles
PLTR,Palantir,AI Agent,Enterprise AI software,平台,AI operating system for government and enterprise workflows,NVDA;cloud providers,SNOW;CRM;MSFT,Government; banks; manufacturers,4,5,4,5,1,Valuation; pilot conversion risk,High-margin workflow platform if AIP becomes enterprise AI control plane,Can pilots convert into durable production expansion
SOUN,SoundHound AI,AI Agent,Voice AI interface,软件,Voice agent and conversational commerce platform,NVDA;cloud providers,NUAN;GOOGL;AMZN,Automotive; restaurants; devices,2,3,2,4,1,Competition; customer concentration; margin proof,Could compound if voice agents become default human-machine interface,Can it prove durable pricing power against platform giants
TSLA,Tesla,自动驾驶,Autonomy and robotics,平台,EV data flywheel autonomy energy and humanoid option,Panasonic;LGES;NVDA,BYD;GM;RIVN,Consumers; fleets; robotaxi users,4,3,4,5,5,EV margin pressure; autonomy timing; regulatory risk,Could re-rate if autonomy and robotics become software-like platforms,Can FSD and robotaxi show repeatable unit economics
SNDK,Sandisk,AI算力,Memory and storage,材料,Flash storage and memory-cycle exposure,WDC suppliers; equipment,MU;WDC;Samsung,Data centers; PCs; devices,2,3,2,3,4,Commodity cycle; oversupply,Can benefit from AI storage demand and NAND cycle recovery,Is this structural growth or only cyclical rebound
ISRG,Intuitive Surgical,AI医疗,Surgical robotics,设备,Robotic surgery platform and installed-base ecosystem,Medical components; hospitals,SYK;MDT;ZBH,Hospitals; surgeons; patients,5,5,4,4,3,Procedure slowdown; reimbursement; competition,Installed base plus instruments create high-quality recurring economics,Can robotic surgery penetration keep expanding globally
TEM,Tempus AI,AI医疗,Clinical AI and data,数据,Oncology data AI diagnostics and precision medicine platform,Hospitals; labs; sequencing,GH;NTRA;EXAS,Doctors; pharma; patients,3,3,3,5,2,Data quality; reimbursement; profitability,Could become a data platform for AI-driven medicine if clinical adoption scales,Can data advantage convert into high-margin recurring revenue
SSYS,Stratasys,增材制造,Industrial 3D printing,设备,Polymer additive manufacturing systems and materials,Materials suppliers,DDD;DM,Industrial designers; aerospace; healthcare,2,2,2,3,3,Adoption speed; hardware commoditization,Optionality if additive manufacturing moves from prototyping to production,Can it build software-material ecosystem economics
DDD,3D Systems,增材制造,Industrial 3D printing,设备,3D printing hardware software and materials,Materials suppliers,SSYS;DM,Industrial; dental; medical,2,2,2,3,3,Cyclical demand; execution risk,Could participate in production-grade additive manufacturing adoption,Can margins improve beyond hardware cyclicality
RXRX,Recursion Pharmaceuticals,AI医疗,AI drug discovery,数据,Biology foundation models and automated lab data,NVDA;lab automation,SDGR;EXAI,Pharma partners; patients,3,2,3,5,3,Clinical failure; cash burn; long timelines,Large upside if AI discovery converts into repeatable clinical assets,Can platform claims survive clinical proof requirements
OKLO,Oklo,AI算力,Advanced nuclear power,设备,Small modular nuclear power for data center electricity,Uranium; regulators,SMR;CEG,Data centers; industrial users,3,3,3,5,5,Licensing; construction; financing,Power scarcity can make reliable nuclear supply strategic for AI data centers,Can it move from narrative to licensed operating assets
