ticker,company,tags,narrative,growth_evidence,catalysts,invalidation,buy_plan,narrative_space,revenue_acceleration,margin_quality,cash_flow,value_chain_position,market_disagreement,valuation_tolerance
NVDA,NVIDIA,AI; semiconductors; data center,AI compute platform and data-center acceleration,"Data center demand keeps pulling forward accelerator, networking, and software attach.","Blackwell ramp, sovereign AI, networking attach",Hyperscaler capex digestion or margin compression,Add only after earnings confirms demand and valuation cools on volatility.,5,5,4,4,5,3,2
TSLA,Tesla,EV; autonomy; energy storage,"Autonomy, EV scale, energy storage, and robot optionality",Energy storage growth offsets EV pricing pressure while autonomy narrative remains unresolved.,"FSD milestones, energy deployments, lower-cost vehicle",EV gross margin fails to stabilize or autonomy slips without evidence,Build slowly; require operating margin stabilization.,4,4,3,3,4,4,3
SNDK,Sandisk,memory; storage; AI infrastructure,AI storage and memory-cycle recovery,Flash demand can benefit from AI storage growth and cyclical pricing recovery.,"NAND price recovery, enterprise SSD demand",Memory oversupply returns before cash flow improves,Treat as cyclical; size smaller than platform names.,4,4,4,4,4,4,3
PLTR,Palantir,AI software; government; enterprise,AI operating system for government and enterprise workflows,AIP adoption supports revenue acceleration and high software margins.,"Commercial customer growth, government renewals",AIP pilots fail to convert into durable expansion,Research candidate after revenue acceleration persists for two quarters.,4,4,4,4,4,3,3
AMD,Advanced Micro Devices,semiconductors; AI accelerators; CPU,Second-source AI accelerator and CPU platform,AI GPU ramp can add a new growth leg while server CPU share remains relevant.,"MI-series traction, server CPU share, margin expansion",AI accelerator share stays niche and margins dilute,Use pullbacks; watch execution versus NVIDIA ecosystem.,4,4,4,3,4,3,3
AVGO,Broadcom,semiconductors; networking; infrastructure software,"AI networking, custom silicon, and infrastructure software",Custom ASIC and networking demand create AI infrastructure exposure with cash flow support.,"Custom silicon wins, VMware cash extraction",Integration drag or AI order lumpiness,High-quality compounder; valuation discipline required.,4,4,4,4,4,3,2
TSM,Taiwan Semiconductor Manufacturing,foundry; advanced nodes; AI supply chain,Advanced-node manufacturing bottleneck,AI and high-performance compute customers depend on advanced foundry capacity.,"N2 ramp, advanced packaging, capex discipline",Geopolitical risk or pricing power erosion,Core supply-chain watch; pair with geopolitical risk notes.,4,4,4,4,4,3,3
ARM,Arm Holdings,chip IP; mobile; edge AI,"Power-efficient compute IP across mobile, cloud, and edge AI",Royalty model can participate in broader chip volume without fab risk.,"Data-center Arm adoption, royalty rate expansion",AI value accrues to customers rather than IP holder,Watch valuation; buy only when growth proof catches up.,4,3,3,3,4,3,2
SOUN,SoundHound AI,voice AI; automotive; restaurants,Voice AI interface layer for physical-world workflows,Restaurant and automotive deployments offer operating leverage if retention holds.,"Enterprise wins, recurring revenue growth",Customer concentration or cash burn worsens,Speculative satellite only; require proof of durable unit economics.,3,3,3,2,3,4,3
CRWV,CoreWeave,AI cloud; GPUs; data center,GPU cloud capacity for AI model builders,Demand for specialized AI cloud can grow quickly if utilization and funding remain strong.,"Utilization, customer concentration, financing terms",Debt burden or GPU supply normalization pressures returns,"Track as high-beta infrastructure name, not core holding yet.",3,3,3,3,3,4,3
